Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
244,-1.34051,0.768953
245,-2.42641,1.73953
246,-1.70919,0.963564
247,-1.92069,1.1582
248,-2.55343,0.914521
249,-2.22994,1.49748
250,-3.52232,2.14529
251,-1.49056,0.707792
252,-1.95158,1.00774
253,-0.806763,0.691063
254,-2.39806,1.2302
255,-1.11508,0.725152
256,-3.24181,2.17737
257,-1.44179,1.3189
258,-4.4185,1.92441
259,-3.50631,2.60732
260,-3.2242,1.72319
261,-2.99505,1.61242
262,-2.29238,1.54269
263,-1.69936,1.18411
264,-4.66965,2.58815
265,-0.853134,0.522761
266,-3.28212,2.24952
267,-3.63482,1.61624
268,-3.98997,2.19247
269,-3.01159,1.66309
270,-3.32935,2.80461
271,-0.194798,0.247037
272,-0.320906,0.425693
273,-2.11582,2.21345
274,-2.68016,1.31759
275,-1.07765,0.551416
276,-0.662773,0.688285
277,-0.831211,0.443214
278,-1.99104,1.12844
279,-1.10012,0.682911
280,-2.07085,0.923738
281,-1.44396,0.828939
282,-1.79735,1.20742
283,-1.1732,0.824821
284,-1.79623,1.022
285,-1.41329,0.615233
286,-2.95721,1.61067
287,-1.68095,1.0853
288,-0.958508,0.739843
289,-0.752764,0.622376
290,-1.47984,1.28445
291,-1.51568,0.854064
292,-0.983317,0.494082
293,-1.25322,0.725015
294,-2.23512,1.04665
295,-3.34987,1.68373
296,-0.501544,0.412114
297,-3.22876,2.33943
298,-1.30511,0.827086
299,-1.06624,0.667346
300,-1.29491,0.722202
301,-1.81104,1.37187
302,-1.79025,0.946116
303,-2.11666,1.38618
304,-0.701617,0.420274
305,-1.33083,0.988221
306,-0.861373,0.574469
307,-3.1751,1.82685
308,-2.04861,1.51453
309,-1.57554,0.66064
310,-0.855318,0.534148
311,-1.74873,0.950481
312,-2.80908,1.44298
313,-2.20054,0.951876
314,-0.686814,0.520996
315,-1.66278,1.68442
316,-1.89358,1.00497
317,-2.12696,0.974843
318,-3.32439,1.972
319,-1.77464,0.995538
320,-0.580211,0.278352
321,-0.607579,0.370718
322,-2.00587,1.01065
323,-1.06733,0.641169
324,-2.92756,1.32837
325,-1.57428,0.891127
