Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
307,555.434,255.141
308,449.095,322.344
309,796.34,250.415
310,901.913,242.52
311,508.958,286
312,420.884,303.393
313,872.344,238.412
314,679.147,268.17
315,901.621,251.036
316,800.488,252.318
317,861.574,243.687
318,778.823,263.05
319,616.824,275.465
320,414.097,278.025
321,563.094,277.042
322,899.828,229.712
323,637.799,272.569
324,700.217,255.646
325,972.686,220.193
326,771.093,264.984
327,473.872,293.862
328,797.666,271.742
329,521.415,255.603
330,365.051,299.516
331,464.056,288.572
332,728.455,258.816
333,682.16,272.219
334,946.188,258.825
335,840.924,246.909
336,378.76,277.188
337,953.982,234.267
338,1041.84,217.852
339,941.113,224.146
340,891.767,246.974
341,1071.4,220.73
342,469.226,294.622
343,459.369,257.74
344,738.06,255.962
345,939.439,275.419
346,500.757,251.167
347,811.808,253.101
348,684.297,251.362
349,900.672,262.68
350,890.942,224.88
351,809.911,241.629
352,1161.09,227.94
353,612.788,257.871
354,804.617,249.999
355,547.717,274.214
356,795.975,272.035
357,665.741,244.192
358,1012.46,261.665
359,1056.98,213.63
360,770.183,262.24
361,832.91,222.514
362,309.302,295.389
363,468.069,269.771
364,959.323,214.75
365,885.593,252.103
366,625.07,241.279
367,870.796,239.537
368,645.97,302.938
369,861.281,248.229
370,367.971,249.514
371,669.237,276.065
372,1160.3,200.248
373,998.642,249.148
374,739.089,257.341
375,973.405,240.082
376,1111.78,232.838
377,1262.66,189.727
378,648.48,254.772
379,1097.05,208.771
380,648.365,256.748
381,438.344,296.632
382,739.275,263.785
383,582.374,286.297
384,671.144,247.29
385,931.819,231.263
386,552.046,272.636
387,789.918,255.759
388,880.758,249.204
389,707.637,197.182
390,638.167,259.04
391,649.554,264.526
392,600.466,262.47
393,730.191,230.1
394,742.653,260.716
395,156.446,292.725
396,649.656,264.153
397,699.184,246.725
398,279.46,298.378
399,841.237,253.943
400,97.7422,309.827
401,211.85,295.555
402,1158.07,221.404
403,388.672,261.892
404,378.707,306.235
405,303.461,274.794
406,563.316,271.193
407,453.037,290.816
408,679.576,253.81
409,801.522,270.203
410,661.003,266.376
411,683.895,251.138
412,373.313,297.524
413,811.539,222.636
414,851.299,250.136
415,628.619,273.469
416,572.804,273.847
417,748.081,259.136
418,528.197,283.903
419,826.282,258.066
420,915.499,242.147
421,888.304,259.313
422,321.306,281.094
423,236.025,266.23
424,479.629,289.494
425,397.354,279.427
426,727.762,267.069
427,878.774,240
428,569.393,269.194
429,656.37,274.008
430,924.842,246.096
431,848.153,251.42
432,823.799,268.338
433,276.622,273.84
434,780.187,253.276
435,998.977,224.539
436,516.619,252.109
437,419.017,266.194
438,1008.79,235.651
439,999.264,224.277
440,498.222,271.116
441,751.671,258.99
442,615.798,271.034
443,389.615,302.002
444,797.387,275.323
445,902.975,223.492
446,1232.16,192.851
447,647.997,284.819
448,752.77,272.708
449,844.566,234.25
450,840.096,260.767
451,896.44,224.633
452,793.222,224.937
453,823.911,263.983
454,675.897,284.34
455,956.76,241.836
456,582.448,241.378
457,384.768,289.18
458,1049.82,204.006
459,559.706,275.232
460,284.548,282.363
461,814.094,280.042
462,1332.65,169.704
463,1291.45,197.77
464,714.211,274.063
465,673.268,274.47
466,792.222,250.887
467,1012,200.864
468,952.538,236.769
469,918.976,234.593
470,587.861,296.935
471,362.606,285.085
472,1037.7,230.971
473,211.392,265.113
474,696.853,260.264
475,736.67,255.799
476,936.778,217.634
477,633.051,275.221
478,711.646,265.838
479,950.782,246.737
480,550.895,269.394
481,699.156,269.7
482,1128.85,239.039
483,893.069,250.078
484,756.638,245.275
485,724.909,238.672
486,715.547,251.055
487,575.463,260.059
488,940.289,239.043
489,725.194,246.969
490,606.495,263.922
491,703.822,266.161
492,683.579,256.823
493,324.422,280.67
494,1091.65,233.73
495,744.019,268.513
496,464.72,278.843
497,567.819,291.127
498,815.965,248.46
499,737.39,275.096
500,719.728,269.053
501,470.477,270.864
502,651.273,277.05
503,1008.55,213.887
504,804.475,247.092
505,558.769,300.646
506,816.945,258.245
507,643.067,262.348
508,1132.32,226.928
509,432.16,270.772
510,963.273,258.817
511,690.776,277.167
512,652.897,261.627
513,627.953,279.217
514,729.747,245.971
515,862.416,256.205
516,1218.72,184.152
517,1014.81,233.602
518,713.088,276.044
519,834.654,261.016
520,1041.49,219.617
521,430.351,296.725
522,944.003,234.958
523,915.314,231.736
524,729.326,229.541
525,445.637,290.85
526,1040.42,207.61
527,798.028,250.79
528,739.835,221.822
529,746.748,262.583
530,981.19,233.896
531,722.779,250.221
532,838.956,226.903
533,887.196,232.735
534,749.116,252.715
535,550.277,262.003
536,523.926,278.319
537,102.074,275.637
538,758.46,284.482
539,594.125,268.266
540,687.657,268.606
541,852.446,262.79
542,882.666,250.149
543,698.354,281.153
544,897.629,226.302
545,422.573,292.822
546,705.037,255.42
547,422.804,276.111
548,868.09,241.601
549,823.969,273.738
550,909.323,265.647
551,626.448,258.308
552,1095.67,216.756
553,1039.34,253.78
554,490.643,284.164
555,1105.49,197.299
556,741.569,266.797
557,782.094,260.867
558,834.359,221.356
559,885.532,221.509
560,1019.75,223.045
561,653.069,255.627
562,929.501,226.758
563,854.383,239.117
564,461.182,285.873
565,650.805,282.483
566,448.526,288.475
567,747.706,238.134
568,426.536,307.426
569,772.044,265.163
570,770.915,263.237
571,321.6,287.065
572,621.985,266.389
573,1081.3,242.526
574,925.888,222.751
575,466.789,289.542
576,851.044,277.589
577,674.089,272.734
578,943.178,263.192
579,696.128,267.275
580,651.819,271.097
581,826.841,234.73
582,550.081,293.694
583,404.265,288.961
584,687.59,270.885
585,998.934,251.216
586,567.112,282.554
587,871.436,239.521
588,239.576,302.702
589,724.024,250.285
590,823.953,257.642
591,909.262,260.166
592,1061.52,194.864
593,868.066,253.294
594,752.599,266.91
595,651.894,302.655
596,899.786,244.629
597,778.707,236.101
598,694.731,251.067
599,677.063,256.449
600,327.073,300.995
601,610.017,278.137
602,920.432,243.821
603,751.781,260.275
604,678.665,259.999
605,603.372,256.68
606,980.764,264.273
607,1105.91,228.459
608,1027.36,232.164
609,1130.19,215.98
610,424.992,282.477
611,1065.54,224.215
612,589.363,277.7
613,624.584,282.28
614,775.156,276.821
615,841.158,284.086
616,649.986,263.997
617,974.831,251.489
618,237.158,270.595
619,744.248,243.546
620,758.956,264.575
621,923.056,233.358
622,705.365,264.525
623,579.156,266.744
624,1034.55,255.555
625,462.9,273.441
626,554.025,286.013
627,840.899,258.762
628,993.531,222.18
629,814.362,234.343
630,971.526,234.006
631,640.753,274.811
632,1344.8,162.773
633,653.5,278.089
634,648.841,263.849
635,950.07,242.331
636,980.999,256.258
637,1052.04,227.372
638,1034.55,228.839
639,796.431,236.37
640,468.563,287.536
641,1433.85,116.667
642,742.448,279.941
643,1094.16,211.418
644,827.952,244.044
645,780.136,251.074
646,915.545,224.097
647,1050.66,239.434
648,849.209,261.725
649,949.681,236.508
650,1237.95,176.231
651,1105.26,228.512
652,978.581,227.952
653,995.623,246.588
654,1060.02,213.722
655,548.302,264.406
656,530.873,312.358
657,1006.92,222.653
658,1210.32,164.168
659,358.603,291.157
660,1207.37,203.278
661,961.687,248.195
662,742.236,304.861
663,838.668,264.731
664,1158.38,228.181
665,503.241,265.319
666,717.32,278.063
667,720.844,269.36
668,1081.93,235.349
669,610.165,267.282
670,540.862,277.927
671,1083.24,251.551
672,1216.28,202.452
