Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
273,1181.42,69.0806
274,1253.09,66.2142
275,1245.3,62.7195
276,1229.98,68.3826
277,1183.87,82.6833
278,1280.54,55.1695
279,1210.57,76.6783
280,1278.71,69.052
281,1245.59,72.8248
282,1250.31,69.8647
283,1238.59,65.6783
284,1320.88,65.1695
285,1265.85,58.0207
286,1230.84,64.92
287,1220.71,69.9307
288,1260.37,66.0625
289,1255.89,66.7015
290,1246.61,69.5219
291,1183.89,75.4987
292,1326.01,61.6363
293,1102.32,86.9469
294,1275.98,77.9136
295,1198.25,65.9507
296,1241.25,73.9844
297,1279.15,64.5464
298,1279.59,68.0298
299,1361.36,48.8838
300,1245.59,80.6595
301,1195.74,66.9644
302,1282.99,68.4333
303,1367.44,51.0189
304,1108.28,82.612
305,1291.97,62.7283
306,1269.16,67.6024
307,1283.78,69.5884
308,1229.57,75.4742
309,1224.41,75.6167
310,1284.65,68.3173
311,1234.34,75.13
312,1227.36,75.0291
313,1292.7,77.5298
314,1294.07,61.554
315,1288.31,60.1923
316,1357.95,63.4098
317,1167.45,78.5055
318,1235.85,76.2452
319,1255,70.8224
320,1342.03,58.3498
321,1279.37,77.1467
322,1422.21,53.5279
323,1224.43,85.5803
324,1339.08,56.1099
325,1344.1,56.7076
326,1302.58,59.7201
327,1244.9,79.795
328,1208.23,74.7182
329,1251.8,77.3888
330,1230.72,61.6887
331,1405.55,49.571
332,1415.39,53.9075
333,1261.67,75.184
334,1264.48,73.3055
335,1350.96,70.7626
336,1265.22,75.8976
337,1197.25,77.3954
338,1343.88,65.291
339,1369.73,64.0785
340,1262.53,60.8607
341,1306.94,61.1482
342,1321.41,69.3387
343,1253.37,77.441
344,1269.17,75.39
345,1207.54,75.0871
346,1440.02,40.7973
347,1239.41,77.5489
348,1279.41,73.1654
349,1268.99,72.0749
350,1238.87,75.0796
351,1432.87,51.1786
352,1275.94,82.6029
353,1335.59,65.0167
354,1311.11,63.3284
355,1175.82,80.1017
356,1433.61,49.3723
357,1338.21,70.999
358,1405.37,53.1002
359,1416.68,55.6637
360,1366.11,63.0329
361,1309.34,68.3933
362,1422.62,49.251
363,1323.88,63.4451
364,1375.8,68.9949
365,1340.72,62.4883
366,1383.82,53.8158
367,1432.99,49.4311
368,1344.39,64.3018
369,1382.67,57.3504
370,1264.52,67.9792
371,1372.03,66.6111
372,1321.85,63.1661
373,1301.19,67.1492
374,1401.97,59.9447
375,1334.68,58.7122
376,1225.77,80.9101
377,1373.29,61.1795
378,1318,72.3911
379,1348.48,64.47
380,1388.95,55.5463
381,1361.51,59.231
382,1269.38,82.0796
383,1415.6,42.9757
384,1392.99,61.6368
385,1285.75,70.6803
386,1320.9,64.2269
387,1349.36,65.866
388,1429.48,46.6353
389,1392.72,56.0601
390,1392.59,60.866
391,1370.09,58.2572
392,1383.42,61.312
393,1384.39,68.5357
394,1408.01,50.1805
395,1354.05,61.9362
396,1388.17,68.9155
397,1335.82,73.3774
398,1355.44,67.1593
399,1368.29,64.7817
400,1438.43,46.9667
401,1416.57,50.3035
402,1376.59,69.5804
403,1413.28,56.736
404,1390.4,62.3417
405,1458.56,42.2229
406,1389.55,64.8549
407,1439.82,42.7581
408,1395.29,75.712
409,1366.77,67.5694
410,1433.33,46.7692
411,1410.27,56.9186
412,1400.53,61.3647
413,1450.71,51.6732
414,1334.87,65.6227
415,1339.3,72.8551
416,1381.33,82.4719
417,1488.41,39.1985
418,1435.95,52.0368
419,1375.82,74.2536
420,1416.06,53.5227
421,1380.07,67.3067
422,1318.65,79.9259
423,1376.78,63.5736
424,1483.34,41.0097
425,1426.04,55.3943
426,1398.92,56.901
427,1305.77,76.6265
428,1399.84,61.0487
429,1356.5,78.7098
430,1408.5,52.7648
431,1421.47,62.2877
432,1406.33,54.671
433,1443.31,49.325
434,1448.56,49.7806
435,1378.5,60.4445
436,1429.48,49.5671
437,1451.97,46.5257
438,1413.81,54.64
439,1357.44,68.2374
440,1263.67,82.795
441,1278.26,83.4076
442,1521.95,29.8241
443,1411.25,57.5526
444,1393.04,67.238
445,1393.75,67.4843
446,1427.58,49.3221
447,1452.93,53.79
448,1465.35,48.024
449,1426.17,52.2758
450,1423.83,54.3486
451,1414.17,67.1126
452,1475.74,45.0833
453,1443.9,63.1954
454,1475.54,47.6297
455,1358.11,74.4675
456,1352.37,69.0753
457,1412.3,56.4999
458,1428.46,51.2207
459,1399.06,59.4466
460,1422.57,48.1215
461,1391.87,58.5249
462,1385.48,70.3506
463,1433.69,61.233
464,1438.6,58.4738
465,1371.53,59.0506
466,1510.69,41.0138
467,1340.77,74.3248
468,1467.62,49.936
469,1384.23,69.8688
470,1521.35,37.8358
471,1453.94,55.4571
472,1406.19,50.6081
473,1409.02,56.1545
474,1448.24,60.3023
475,1472.09,49.6634
476,1346.95,59.5803
477,1376.97,61.1245
478,1385.51,65.9436
479,1351.72,69.6186
480,1458.44,44.9124
481,1487.82,39.9606
482,1491.86,42.1354
483,1346.94,63.6429
484,1449.34,46.3267
485,1366.24,67.906
486,1410.44,65.8217
487,1412.24,65.8769
488,1470.78,40.0077
489,1414.27,54.9474
490,1434.38,50.2841
491,1479.3,51.0278
492,1377.5,72.6121
493,1452.2,60.62
494,1448.92,52.3899
495,1541.68,31.4774
496,1391.56,72.7378
497,1370.54,64.7937
498,1469.94,59.0544
499,1517.79,42.1753
500,1495.83,41.8001
501,1432.62,56.325
502,1400.28,69.6658
503,1459.43,58.7721
504,1376.29,68.3805
505,1356.31,69.1949
506,1400.21,61.8792
507,1433.01,55.834
508,1415.19,62.6695
509,1343.76,67.0339
510,1388.26,62.5045
511,1370.13,74.8918
512,1458.75,57.808
513,1497.94,40.3633
514,1476.24,39.5894
515,1458.86,46.3811
516,1417,58.4809
517,1469.16,46.3832
518,1413.85,61.9174
519,1568.1,21.766
520,1478.53,46.8348
521,1498.01,45.2431
522,1462.17,57.684
523,1446.93,55.3358
524,1444.64,56.5207
525,1418.42,61.2524
526,1407.69,66.4663
527,1428.35,56.584
528,1373.79,71.2596
529,1467.55,50.5135
530,1459.3,53.7957
531,1486.39,42.1872
532,1496.56,50.6969
533,1443.69,55.9141
534,1440.95,54.0629
535,1363.41,66.3937
536,1566.78,28.5103
537,1446.61,53.3126
538,1365.87,73.9038
539,1495.7,56.2994
540,1458.81,46.8886
541,1489.6,46.2801
542,1393.98,65.854
543,1465.04,51.3295
544,1423.35,62.6029
545,1523.71,46.8985
546,1393.49,70.0438
547,1491.57,41.7736
548,1516.3,45.3142
549,1423.51,64.2347
550,1447.34,57.067
551,1533.69,26.5426
552,1496.86,61.4726
553,1509.41,36.914
554,1486.1,61.7219
555,1458.74,51.6582
556,1476.45,57.9728
557,1437.86,60.5665
558,1466.07,47.6565
559,1502.37,46.7388
560,1399.79,65.7565
561,1466.89,55.0207
562,1424.13,60.8182
563,1473.7,50.1162
564,1465.59,54.6287
565,1405.76,62.1311
566,1500.01,45.6806
567,1516.42,41.0567
568,1480.96,46.0951
569,1536.83,37.3196
570,1387.76,71.858
571,1510.15,54.5165
572,1492.86,44.3125
573,1495.26,49.4258
574,1417.51,68.4552
575,1493.55,53.9976
576,1539.61,28.4661
577,1471.71,53.4652
578,1481.76,47.8363
579,1494.4,41.3124
580,1449.73,56.2839
581,1463.66,46.9976
582,1503.35,41.3426
583,1534.71,44.3814
584,1484.92,46.6492
585,1472.09,51.8248
586,1433.1,58.9585
587,1460.67,55.6905
588,1434.51,76.859
589,1396.81,71.7918
590,1499.06,45.4691
591,1463.67,49.8534
592,1448.99,53.1242
593,1458.53,48.4654
594,1475.28,52.8823
595,1459.54,65.5803
596,1473.85,65.2362
597,1381.42,72.2794
598,1443.3,53.6765
599,1387.23,79.7961
600,1446.55,67.5769
601,1469.52,51.0815
602,1469,60.0724
603,1477.29,49.7387
604,1537.83,37.339
605,1352.08,81.3019
606,1514.21,45.8446
607,1526.77,53.4096
608,1391.66,64.3263
609,1411.18,63.9853
610,1372.01,70.4337
611,1423.34,59.056
612,1503.72,44.1047
613,1519.39,48.4292
614,1470.21,51.4541
615,1467.06,62.6437
616,1402.78,74.9959
617,1490.75,44.5846
618,1431.71,60.993
619,1507.39,48.991
620,1514.92,46.6547
